System,Latency_ms
AO-PQ (Pure ADC Multi-Epoch),0.4430410044733435
Static PQ (Pure ADC),0.3066249919356778
AO-PQ (Pure ADC Multi-Epoch),0.41633400542195886
Static PQ (Pure ADC),0.31358299020212144
AO-PQ (Pure ADC Multi-Epoch),0.4062079970026389
Static PQ (Pure ADC),0.33387499570380896
AO-PQ (Pure ADC Multi-Epoch),0.48320900532417
Static PQ (Pure ADC),0.32449999707750976
AO-PQ (Pure ADC Multi-Epoch),0.46954199206084013
Static PQ (Pure ADC),0.3438749990891665
AO-PQ (Pure ADC Multi-Epoch),0.5452080076793209
Static PQ (Pure ADC),0.3566250088624656
AO-PQ (Pure ADC Multi-Epoch),0.44233299558982253
Static PQ (Pure ADC),0.7173330086516216
AO-PQ (Pure ADC Multi-Epoch),0.8173749956768006
Static PQ (Pure ADC),0.3757499944185838
AO-PQ (Pure ADC Multi-Epoch),0.498042005347088
Static PQ (Pure ADC),0.3556669980753213
AO-PQ (Pure ADC Multi-Epoch),0.3690409939736128
Static PQ (Pure ADC),0.3450419899309054
AO-PQ (Pure ADC Multi-Epoch),0.3506250068312511
Static PQ (Pure ADC),0.6187499966472387
AO-PQ (Pure ADC Multi-Epoch),0.34149999555666
Static PQ (Pure ADC),0.2711670094868168
AO-PQ (Pure ADC Multi-Epoch),0.295541001833044
Static PQ (Pure ADC),0.3374579973751679
AO-PQ (Pure ADC Multi-Epoch),0.3296670038253069
Static PQ (Pure ADC),0.3034169931197539
AO-PQ (Pure ADC Multi-Epoch),0.3732080076588318
Static PQ (Pure ADC),0.28079199546482414
AO-PQ (Pure ADC Multi-Epoch),0.3062920004595071
Static PQ (Pure ADC),0.2507500030333176
AO-PQ (Pure ADC Multi-Epoch),0.33645800431258976
Static PQ (Pure ADC),0.2582090091891587
AO-PQ (Pure ADC Multi-Epoch),0.8179170108633116
Static PQ (Pure ADC),0.31024999043438584
AO-PQ (Pure ADC Multi-Epoch),0.3378750116098672
Static PQ (Pure ADC),0.283582994597964
AO-PQ (Pure ADC Multi-Epoch),0.3741669934242964
Static PQ (Pure ADC),0.31687501177657396
AO-PQ (Pure ADC Multi-Epoch),0.33879200054798275
